          identity_address          |                             friendly_name                              | stake_count |      first_stake       |       last_stake       
 iLTTfPWWattenqLRk3Y3arvfGnnuzsTxrA | unknown.VRSC@                                                          |           8 | 2023-03-02 05:48:22+00 | 2025-06-18 00:25:41+01
 iLWYR8gq68s1ggJdPmmhuzmVWa1oBWkN1H | VerusCoin Foundation.VRSC@                                             |           1 | 2023-07-23 01:27:30+01 | 2023-07-23 01:27:30+01
 iLzYiQEowzERSuSMvnMWgT4mNsdTtcPz7B | unknown.VRSC@                                                          |         429 | 2023-11-30 07:47:41+00 | 2024-10-16 20:20:42+01
 iM4WypVsrSaW4oV45FGe5XA2MT2NC59zan | cfb.VRSC@                                                              |         796 | 2024-10-07 00:15:24+01 | 2025-10-12 06:04:37+01
 iM6pYYAiz3kbzRCgVdqJv2nu6oAHMCXmbJ | unknown.VRSC@                                                          |           2 | 2023-09-10 21:06:30+01 | 2024-09-25 22:39:49+01
 iM8zyiz7RMMHo7AHkWB1MBrpCnruASMtQf | unknown.VRSC@                                                          |           1 | 2022-04-04 06:40:46+01 | 2022-04-04 06:40:46+01
 iMB61ShE5YEjsByaw2DzBdP2eMxdbX5uPG | unknown.VRSC@                                                          |          34 | 2020-07-24 15:14:24+01 | 2025-06-21 12:47:36+01
 iMBoGeHVAJSJwVfuBETqQsEXWRZNZiszjM | unknown.VRSC@                                                          |           1 | 2023-06-07 01:56:17+01 | 2023-06-07 01:56:17+01
 iMd9gFvXRfiPztvWN3AbWiS4zB6HiDD1r1 | bridge.Traders.VRSC@                                                   |           2 | 2025-06-12 04:52:54+01 | 2025-10-05 08:41:07+01
 iMe8M4Z3bUxTYGnKBHYiXsKXsaabuTXesP | delegate.VRSC@                                                         |         155 | 2022-08-12 19:41:39+01 | 2025-10-01 05:27:09+01
 iMeywyy1EJCzksQiRrJ95GVMahQM8Qy1DG | unknown.VRSC@                                                          |           1 | 2023-08-28 02:01:31+01 | 2023-08-28 02:01:31+01
 iMFAdPFbvxdvN2rpNXNgBBkB2amyhuH248 | skeletounek.PBaaSLaunch.VRSC@                                          |          44 | 2024-12-05 22:00:38+00 | 2025-10-14 03:37:22+01
 iMGpfniMdodXvELn52fKk3FfPqwsXwmUX9 | CrackityJ.VRSC@                                                        |           4 | 2024-06-30 21:36:37+01 | 2025-07-03 23:18:12+01
 iMgzucMBoX2gwnNvyxebYtSzRrhSt8xdjL | unknown.VRSC@                                                          |         745 | 2021-01-03 06:09:59+00 | 2021-11-30 02:44:57+00
 iMJcXPxagFh4k4u164iRVB6zkdh3aGw6eG | unknown.VRSC@                                                          |         110 | 2021-01-22 01:11:36+00 | 2021-03-15 21:42:15+00
 iMJs7xZkKF8j8gzp9L3sHSXEcLno9cNTSS | VVV.VRSC@                                                              |         681 | 2022-12-01 16:58:24+00 | 2025-10-24 11:09:44+01
 iMMaptCxRy4BZSU9vtBsjhGQ4Ej7aXyoys | C2.RaceCondition.VRSC@                                                 |           6 | 2024-07-01 02:21:47+01 | 2025-09-23 15:31:44+01
 iMn2GB4s48Q7dYNwLwNMpeHes1sTyY3UK4 | datab0t.VRSC@                                                          |           3 | 2021-04-09 19:34:20+01 | 2022-03-13 09:17:12+00
 iMnh3zAVofRvF8sg4cRv3vHvvJpM57SSJS | Danny.VRSC@                                                            |         912 | 2021-08-24 11:41:09+01 | 2024-01-03 23:15:23+00
 iMq6VvDd3bEGmZ7abbwRB22RQtMpvaZq8R | Steve.VRSC@                                                            |          16 | 2025-01-09 09:32:31+00 | 2025-10-02 18:46:58+01
 iMqjKfNycMHUycM6FwbVgyDSdSAsyRXtLf | unknown.VRSC@                                                          |           1 | 2025-03-06 15:56:09+00 | 2025-03-06 15:56:09+00
 iMSSRi2Y4ZyeL66RqyjouYcBrQhJ6We7sS | unknown.VRSC@                                                          |           1 | 2024-02-29 02:23:52+00 | 2024-02-29 02:23:52+00
 iMTrJAEDzBMv5HRkn7KZZmGYKtfq1FcML9 | unknown.VRSC@                                                          |           1 | 2021-03-10 07:05:35+00 | 2021-03-10 07:05:35+00
 iMUS2zAaJeb592ByMu6xmHZiN81dRTtLEL | unknown.VRSC@                                                          |           1 | 2022-08-30 15:07:28+01 | 2022-08-30 15:07:28+01
 iMwZ2fbJaKKCJgJFaLTHLa8CW48ph3LJcB | needmore.VRSC@                                                         |        2902 | 2022-04-02 01:58:31+01 | 2025-10-25 02:05:31+01
 iMzfigUeHe4p2xHpqxgpdUZJtmkUVm9BfX | unknown.VRSC@                                                          |           1 | 2021-03-11 14:53:16+00 | 2021-03-11 14:53:16+00
 iMzkWuLC51AxzS4eZhzJcnTLkuLtKSmeDQ | mushroom.VRSC@                                                         |         403 | 2023-04-25 15:03:51+01 | 2025-10-24 00:41:45+01
 iMZx9LhFW5W6bj4KFZ3zJBjYc5npdqXcCH | lender.VRSC@                                                           |           2 | 2023-12-16 14:17:17+00 | 2025-09-29 20:59:21+01
 iN1VoGDXMqVb1dSPpLvsMNYUcvp9Fd1kQy | unknown.VRSC@                                                          |           2 | 2023-12-26 00:42:14+00 | 2024-12-21 12:55:01+00
 iN5JhYYpG53WounaGbi9ShoLWxcD5SmFFG | StaFi.VRSC@                                                            |          12 | 2022-12-09 09:47:29+00 | 2024-10-11 15:56:52+01
 iN9BXdE5itTQrmpgoA9R9NjhA9uSmKuv5G | RK3399.VRSC@                                                           |         390 | 2020-06-19 05:08:58+01 | 2020-09-20 15:06:05+01
 iNAfHikcAMwQjrfLbvyEn2hVkPRk4VpHAk | DCV.VRSC@                                                              |         240 | 2021-07-11 17:04:49+01 | 2025-10-25 12:07:35+01
 iNFsTUB99uWfCh8jbhGmow2WfQbbtBAeia | unknown.VRSC@                                                          |          35 | 2022-06-19 15:39:35+01 | 2025-10-26 10:32:38+00
 iNiMgB4MywWRXx8CwFacoyc6WxoaGztyeS | cautionfun.VRSC@                                                       |         386 | 2022-01-24 15:52:18+00 | 2025-10-25 08:59:22+01
 iNm5wseSvc3kbzqnUa3Z8FZ3crPAvcq4Fb | no1.VRSC@                                                              |          16 | 2025-08-25 16:06:31+01 | 2025-10-13 11:05:29+01
 iNNMa8DXWC2qv8YoqBFbV3PF3VkCBoAKpc | unknown.VRSC@                                                          |         215 | 2020-12-31 06:11:36+00 | 2023-06-13 13:19:24+01
 iNPJxn8uhEtA4bpzV7mNc6qzpygSgKFaXc | unknown.VRSC@                                                          |           1 | 2025-10-23 16:40:39+01 | 2025-10-23 16:40:39+01
 iNtPmxtUn83HsXCNxSWv8gnSu25728RnS5 | unknown.VRSC@                                                          |          65 | 2023-06-06 21:05:11+01 | 2024-04-10 23:30:09+01
 iNtuAeecUhZg8DYkegpgBiUqEctzyC4sdc | unknown.VRSC@                                                          |          71 | 2020-07-15 06:19:42+01 | 2021-01-21 09:01:33+00
 iNuB2ieGyTbgHdZtYB35jy3eMVYJvKTgEH | unknown.VRSC@                                                          |          12 | 2021-04-24 10:31:23+01 | 2025-01-11 06:37:06+00
